x,y,z,gz
331000.031,4263002.233,1648.619,-0.094
331007.469,4263235.224,1652.230,-0.035
330993.147,4263497.035,1649.753,-0.107
330977.735,4263700.056,1650.243,-0.137
330988.633,4263971.715,1649.128,-0.229
330975.209,4264259.071,1653.464,-0.124
331001.504,4264446.786,1649.936,-0.241
331033.505,4264771.165,1643.399,-0.209
330987.695,4264956.348,1647.924,-0.087
330984.488,4265268.918,1644.094,-0.082
331262.246,4262978.863,1651.214,-0.138
331258.922,4263269.475,1659.378,-0.229
331252.635,4263503.274,1664.969,-0.170
331226.738,4263711.579,1661.110,-0.190
331249.269,4264031.229,1657.451,-0.130
331267.383,4264286.043,1658.147,-0.050
331216.395,4264498.355,1664.361,-0.145
331238.560,4264743.152,1661.442,-0.190
331202.469,4264996.003,1661.113,-0.198
331217.762,4265225.621,1660.808,-0.133
331453.957,4263027.465,1671.212,-0.149
331494.123,4263236.428,1673.513,-0.210
331468.314,4263498.720,1672.754,-0.157
331506.782,4263730.168,1671.744,-0.230
331503.919,4263984.348,1667.968,-0.122
331495.327,4264218.057,1672.630,-0.123
331437.081,4264531.427,1669.044,-0.114
331486.533,4264746.148,1674.378,-0.187
331498.787,4265024.148,1667.283,-0.127
331502.833,4265250.333,1670.684,-0.147
331711.747,4262982.640,1679.585,-0.167
331738.056,4263241.833,1675.633,-0.180
331725.537,4263485.994,1684.773,-0.239
331729.779,4263750.199,1683.988,-0.255
331776.522,4263990.618,1678.216,-0.151
331729.812,4264242.502,1681.922,-0.197
331749.187,4264465.536,1680.743,-0.174
331772.110,4264729.829,1671.766,-0.128
331735.410,4265041.351,1680.358,-0.247
331747.207,4265233.219,1679.423,-0.189
332002.762,4262973.648,1686.097,-0.146
332001.595,4263258.433,1682.617,-0.152
331969.374,4263535.182,1685.040,-0.203
332001.904,4263713.649,1685.313,-0.141
332033.971,4263994.787,1689.412,-0.188
331961.321,4264234.199,1686.851,-0.258
332021.485,4264455.975,1685.831,-0.241
332002.984,4264768.373,1690.435,-0.142
331983.963,4264999.414,1684.182,-0.147
332050.010,4265251.786,1684.679,-0.251
332269.056,4262981.192,1683.890,-0.091
332220.018,4263261.370,1694.047,-0.145
332251.863,4263486.518,1692.233,-0.120
332264.417,4263746.427,1692.091,-0.216
332245.280,4263972.293,1691.347,-0.217
332267.073,4264219.597,1689.670,-0.259
332248.337,4264533.388,1689.986,-0.069
332266.681,4264737.322,1688.584,-0.197
332285.963,4265007.292,1688.729,-0.095
332233.108,4265249.155,1689.503,-0.191
332505.078,4262988.971,1694.352,-0.150
332488.417,4263237.301,1691.483,-0.257
332503.182,4263515.752,1689.641,-0.208
332470.320,4263742.453,1688.078,-0.149
332485.517,4263996.214,1687.911,-0.266
332495.095,4264250.556,1694.624,-0.148
332522.469,4264529.413,1691.336,-0.179
332528.631,4264767.013,1690.019,-0.238
332466.912,4265009.565,1688.778,-0.199
332480.134,4265235.911,1686.489,-0.183
332766.173,4262965.451,1687.039,-0.156
332700.190,4263273.738,1689.861,-0.200
332738.421,4263524.161,1686.062,-0.226
332747.568,4263746.482,1686.558,-0.208
332781.425,4264013.547,1686.577,-0.248
332767.235,4264269.536,1687.569,-0.261
332741.820,4264520.780,1682.461,-0.195
332740.786,4264773.035,1686.534,-0.138
332743.745,4264988.610,1684.677,-0.248
332788.088,4265287.874,1689.894,-0.152
332989.299,4262968.835,1679.497,-0.181
332992.408,4263271.543,1683.540,-0.213
333008.815,4263512.348,1686.382,-0.132
332996.981,4263771.840,1680.868,-0.211
332995.068,4264046.975,1680.004,-0.114
332972.148,4264287.111,1682.383,-0.228
332999.712,4264471.371,1681.803,-0.165
332988.910,4264707.783,1678.828,-0.189
333029.153,4265020.422,1683.192,-0.198
333016.327,4265224.625,1687.855,-0.120
333249.396,4262999.690,1673.165,-0.148
333266.710,4263270.993,1673.330,-0.123
333241.503,4263458.905,1670.804,-0.166
333276.303,4263697.250,1674.896,-0.223
333249.865,4264006.482,1670.198,-0.182
333264.585,4264251.110,1670.618,-0.173
333217.728,4264493.855,1677.778,-0.125
333258.667,4264750.963,1671.223,-0.209
333207.795,4264978.487,1677.183,-0.158
333199.117,4265212.163,1678.512,-0.230
333492.388,4262995.834,1665.012,-0.098
333477.502,4263225.707,1665.894,-0.195
333504.101,4263458.913,1670.090,-0.239
333556.119,4263762.642,1663.643,-0.157
333479.207,4263998.465,1662.455,-0.107
333484.401,4264260.163,1660.174,-0.239
333505.135,4264475.268,1664.359,-0.212
333512.325,4264733.549,1668.671,-0.187
333495.590,4264975.024,1667.112,-0.198
333494.852,4265227.834,1661.407,-0.112
333767.562,4263004.885,1650.871,-0.158
333762.998,4263230.426,1651.925,-0.163
333724.158,4263508.902,1654.314,-0.109
333748.020,4263758.494,1652.821,-0.180
333750.882,4264050.629,1654.081,-0.123
333723.638,4264215.180,1654.327,-0.195
333756.496,4264522.198,1652.541,-0.202
333728.551,4264747.763,1653.317,-0.229
333774.302,4264999.649,1654.057,-0.033
333754.819,4265213.753,1653.185,-0.135
