lon,lat,elev,mgal
-112.8657201,38.4899195,1648.6190000,-0.0940000
-112.8656348,38.4920184,1652.2300000,-0.0350000
-112.8657990,38.4943769,1649.7530000,-0.1070000
-112.8659757,38.4962059,1650.2430000,-0.1370000
-112.8658508,38.4986531,1649.1280000,-0.2290000
-112.8660047,38.5012418,1653.4640000,-0.1240000
-112.8657032,38.5029328,1649.9360000,-0.2410000
-112.8653364,38.5058550,1643.3990000,-0.2090000
-112.8658615,38.5075232,1647.9240000,-0.0870000
-112.8658983,38.5103390,1644.0940000,-0.0820000
-112.8627142,38.4897090,1651.2140000,-0.1380000
-112.8627523,38.4923270,1659.3780000,-0.2290000
-112.8628244,38.4944331,1664.9690000,-0.1700000
-112.8631212,38.4963097,1661.1100000,-0.1900000
-112.8628629,38.4991892,1657.4510000,-0.1300000
-112.8626553,38.5014847,1658.1470000,-0.0500000
-112.8632398,38.5033973,1664.3610000,-0.1450000
-112.8629857,38.5056026,1661.4420000,-0.1900000
-112.8633994,38.5078804,1661.1130000,-0.1980000
-112.8632241,38.5099489,1660.8080000,-0.1330000
-112.8605165,38.4901468,1671.2120000,-0.1490000
-112.8600560,38.4920292,1673.5130000,-0.2100000
-112.8603519,38.4943921,1672.7540000,-0.1570000
-112.8599109,38.4964771,1671.7440000,-0.2300000
-112.8599437,38.4987669,1667.9680000,-0.1220000
-112.8600422,38.5008723,1672.6300000,-0.1230000
-112.8607099,38.5036953,1669.0440000,-0.1140000
-112.8601431,38.5056296,1674.3780000,-0.1870000
-112.8600026,38.5081340,1667.2830000,-0.1270000
-112.8599562,38.5101716,1670.6840000,-0.1470000
-112.8575613,38.4897430,1679.5850000,-0.1670000
-112.8572597,38.4920779,1675.6330000,-0.1800000
-112.8574032,38.4942775,1684.7730000,-0.2390000
-112.8573546,38.4966576,1683.9880000,-0.2550000
-112.8568187,38.4988234,1678.2160000,-0.1510000
-112.8573542,38.5010925,1681.9220000,-0.1970000
-112.8571321,38.5031017,1680.7430000,-0.1740000
-112.8568693,38.5054826,1671.7660000,-0.1280000
-112.8572900,38.5082889,1680.3580000,-0.2470000
-112.8571548,38.5100174,1679.4230000,-0.1890000
-112.8542252,38.4896620,1686.0970000,-0.1460000
-112.8542386,38.4922275,1682.6170000,-0.1520000
-112.8546080,38.4947206,1685.0400000,-0.2030000
-112.8542351,38.4963283,1685.3130000,-0.1410000
-112.8538675,38.4988609,1689.4120000,-0.1880000
-112.8547003,38.5010177,1686.8510000,-0.2580000
-112.8540106,38.5030156,1685.8310000,-0.2410000
-112.8542227,38.5058298,1690.4350000,-0.1420000
-112.8544407,38.5079112,1684.1820000,-0.1470000
-112.8536836,38.5101846,1684.6790000,-0.2510000
-112.8511725,38.4897299,1683.8900000,-0.0910000
-112.8517347,38.4922539,1694.0470000,-0.1450000
-112.8513696,38.4942822,1692.2330000,-0.1200000
-112.8512257,38.4966236,1692.0910000,-0.2160000
-112.8514451,38.4986583,1691.3470000,-0.2170000
-112.8511953,38.5008861,1689.6700000,-0.2590000
-112.8514100,38.5037129,1689.9860000,-0.0690000
-112.8511998,38.5055501,1688.5840000,-0.1970000
-112.8509787,38.5079821,1688.7290000,-0.0950000
-112.8515846,38.5101609,1689.5030000,-0.1910000
-112.8484669,38.4898000,1694.3520000,-0.1500000
-112.8486579,38.4920371,1691.4830000,-0.2570000
-112.8484886,38.4945455,1689.6410000,-0.2080000
-112.8488653,38.4965878,1688.0780000,-0.1490000
-112.8486911,38.4988738,1687.9110000,-0.2660000
-112.8485813,38.5011650,1694.6240000,-0.1480000
-112.8482675,38.5036771,1691.3360000,-0.1790000
-112.8481969,38.5058176,1690.0190000,-0.2380000
-112.8489044,38.5080026,1688.7780000,-0.1990000
-112.8487528,38.5100416,1686.4890000,-0.1830000
-112.8454738,38.4895881,1687.0390000,-0.1560000
-112.8462302,38.4923654,1689.8610000,-0.2000000
-112.8457919,38.4946213,1686.0620000,-0.2260000
-112.8456871,38.4966241,1686.5580000,-0.2080000
-112.8452989,38.4990299,1686.5770000,-0.2480000
-112.8454616,38.5013360,1687.5690000,-0.2610000
-112.8457530,38.5035994,1682.4610000,-0.1950000
-112.8457648,38.5058718,1686.5340000,-0.1380000
-112.8457309,38.5078138,1684.6770000,-0.2480000
-112.8452226,38.5105097,1689.8940000,-0.1520000
-112.8429160,38.4896186,1679.4970000,-0.1810000
-112.8428803,38.4923456,1683.5400000,-0.2130000
-112.8426922,38.4945149,1686.3820000,-0.1320000
-112.8428279,38.4968525,1680.8680000,-0.2110000
-112.8428498,38.4993311,1680.0040000,-0.1140000
-112.8431126,38.5014944,1682.3830000,-0.2280000
-112.8427966,38.5031543,1681.8030000,-0.1650000
-112.8429204,38.5052840,1678.8280000,-0.1890000
-112.8424591,38.5081004,1683.1920000,-0.1980000
