x,y,z,gz
331000.031,4263002.233,1663.472,-0.094
331007.469,4263235.224,1667.506,-0.035
330993.147,4263497.035,1659.737,-0.107
330977.735,4263700.056,1651.371,-0.137
330988.633,4263971.715,1657.287,-0.229
330975.209,4264259.071,1650.000,-0.124
331001.504,4264446.786,1664.271,-0.241
331033.505,4264771.165,1681.610,-0.209
330987.695,4264956.348,1656.778,-0.087
330984.488,4265268.918,1655.037,-0.082
331262.246,4262978.863,1801.490,-0.138
331258.922,4263269.475,1799.833,-0.229
331252.635,4263503.274,1796.691,-0.170
331226.738,4263711.579,1783.625,-0.190
331249.269,4264031.229,1795.004,-0.130
331267.383,4264286.043,1804.043,-0.050
331216.395,4264498.355,1778.354,-0.145
331238.560,4264743.152,1789.613,-0.190
331202.469,4264996.003,1771.214,-0.198
331217.762,4265225.621,1779.053,-0.133
331453.957,4263027.465,1890.099,-0.149
331494.123,4263236.428,1906.596,-0.210
331468.314,4263498.720,1896.090,-0.157
331506.782,4263730.168,1911.622,-0.230
331503.919,4263984.348,1910.493,-0.122
331495.327,4264218.057,1907.077,-0.123
331437.081,4264531.427,1882.930,-0.114
331486.533,4264746.148,1903.541,-0.187
331498.787,4265024.148,1908.457,-0.127
331502.833,4265250.333,1910.063,-0.147
331711.747,4262982.640,1980.035,-0.167
331738.056,4263241.833,1986.880,-0.180
331725.537,4263485.994,1983.682,-0.239
331729.779,4263750.199,1984.777,-0.255
331776.522,4263990.618,1996.028,-0.151
331729.812,4264242.502,1984.786,-0.197
331749.187,4264465.536,1989.633,-0.174
331772.110,4264729.829,1995.031,-0.128
331735.410,4265041.351,1986.213,-0.247
331747.207,4265233.219,1989.149,-0.189
332002.762,4262973.648,2027.991,-0.146
332001.595,4263258.433,2027.926,-0.152
331969.374,4263535.182,2025.701,-0.203
332001.904,4263713.649,2027.943,-0.141
332033.971,4263994.787,2029.355,-0.188
331961.321,4264234.199,2025.021,-0.258
332021.485,4264455.975,2028.900,-0.241
332002.984,4264768.373,2028.004,-0.142
331983.963,4264999.414,2026.807,-0.147
332050.010,4265251.786,2029.762,-0.251
332269.056,4262981.192,2015.457,-0.091
332220.018,4263261.370,2021.848,-0.145
332251.863,4263486.518,2017.903,-0.120
332264.417,4263746.427,2016.139,-0.216
332245.280,4263972.293,2018.782,-0.217
332267.073,4264219.597,2015.750,-0.259
332248.337,4264533.388,2018.378,-0.069
332266.681,4264737.322,2015.808,-0.197
332285.963,4265007.292,2012.835,-0.095
332233.108,4265249.155,2020.320,-0.191
332505.078,4262988.971,1960.433,-0.150
332488.417,4263237.301,1965.561,-0.257
332503.182,4263515.752,1961.025,-0.208
332470.320,4263742.453,1970.928,-0.149
332485.517,4263996.214,1966.435,-0.266
332495.095,4264250.556,1963.527,-0.148
332522.469,4264529.413,1954.893,-0.179
332528.631,4264767.013,1952.884,-0.238
332466.912,4265009.565,1971.915,-0.199
332480.134,4265235.911,1968.044,-0.183
332766.173,4262965.451,1859.225,-0.156
332700.190,4263273.738,1888.153,-0.200
332738.421,4263524.161,1871.633,-0.226
332747.568,4263746.482,1867.581,-0.208
332781.425,4264013.547,1852.264,-0.248
332767.235,4264269.536,1858.743,-0.261
332741.820,4264520.780,1870.132,-0.195
332740.786,4264773.035,1870.589,-0.138
332743.745,4264988.610,1869.279,-0.248
332788.088,4265287.874,1849.193,-0.152
332989.299,4262968.835,1749.277,-0.181
332992.408,4263271.543,1747.646,-0.213
333008.815,4263512.348,1739.013,-0.132
332996.981,4263771.840,1745.245,-0.211
332995.068,4264046.975,1746.250,-0.114
332972.148,4264287.111,1758.233,-0.228
332999.712,4264471.371,1743.809,-0.165
332988.910,4264707.783,1749.480,-0.189
333029.153,4265020.422,1728.243,-0.198
333016.327,4265224.625,1735.043,-0.120
333249.396,4262999.690,1609.325,-0.148
333266.710,4263270.993,1599.993,-0.123
333241.503,4263458.905,1613.587,-0.166
333276.303,4263697.250,1594.836,-0.223
333249.865,4264006.482,1609.072,-0.182
333264.585,4264251.110,1601.137,-0.173
333217.728,4264493.855,1626.453,-0.125
333258.667,4264750.963,1604.324,-0.209
333207.795,4264978.487,1631.837,-0.158
333199.117,4265212.163,1636.544,-0.230
333492.388,4262995.834,1483.217,-0.098
333477.502,4263225.707,1490.515,-0.195
333504.101,4263458.913,1477.527,-0.239
333556.119,4263762.642,1452.864,-0.157
333479.207,4263998.465,1489.675,-0.107
333484.401,4264260.163,1487.124,-0.239
333505.135,4264475.268,1477.027,-0.212
333512.325,4264733.549,1473.561,-0.187
333495.590,4264975.024,1481.657,-0.198
333494.852,4265227.834,1482.016,-0.112
333767.562,4263004.885,1365.146,-0.158
333762.998,4263230.426,1366.791,-0.163
333724.158,4263508.902,1381.278,-0.109
333748.020,4263758.494,1372.277,-0.180
333750.882,4264050.629,1371.219,-0.123
333723.638,4264215.180,1381.478,-0.195
333756.496,4264522.198,1369.157,-0.202
333728.551,4264747.763,1379.597,-0.229
333774.302,4264999.649,1362.737,-0.033
333754.819,4265213.753,1369.771,-0.135
